"Reason_Code"	"Reason_Desc"
"D74"	"ไม่มีรายได้ประจำ"
"R01"	"รายได้เฉลี่ยต่อเดือนต่ำกว่าเกณฑ์"
"R02"	"Cash  Flow  ไม่ผ่านเกณฑ์ (เดิม :สภาพหมุนเวียนบัญชีน้อย)"
"R03"	"อายุของผู้สมัครต่ำกว่าเกณฑ์"
"R04"	"โทรศัพท์เสีย / ไม่มีเบอร์พื้นฐาน / เบอร์ผิด"
"R05"	"เอกสารไม่สมบูรณ์  / ไม่ติดต่อกลับในเวลาที่กำหนด"
"R06"	"ลงลายมือชื่อผิดช่อง/ลายมือชื่อไม่ตรงกัน/ไม่ได้ลงลายมือชื่อบนใบสมัคร"
"R06"	"ลูกค้ามีประวัติการฟ้องร้อง / ล้มละลาย"
"R07"	"ลูกค้าเก่า RL/PL ยังไม่ปิดบัญชี"
"R08"	"ใบสมัครผิดประเภท (หลัก / เสริม)"
"R09"	"Bal. ต่ำ / รับสุทธิน้อย / ภาระหนี้สูง"
"R10"	"คุณสมบัติไม่เป็นไปตามหลักเกณฑ์และเงื่อนไขที่กำหนด"
"R41"	"รับเงินเดือนเป็นเงินสด"
"R43"	"มีประวัติถูกปฎิเสธสินเชื่อจาก KTC ยังไม่ถึง 6 เดือน"
"R44"	"ประวัติการติดต่อด้านบัตรเครดิตของ KTC ไม่ดี"
"R45"	"พบข้อมูลใน Fruad List / Fraud Company"
"R47"	"บัญชีเงินหมุนเวียนต่ำ ไม่สามารถคำนวณ Cash Flow ได้"
"R48"	"บัญชีเงินหมุนเวียนมีรายการเช็คคืน"
"R49"	"ภาระหนี้สูง"
"R50"	"ถือบัตร KTC รายได้ น้อยกว่า 15,000 ไม่แสดงเอกสารเพิ่ม"
"R50"	"เป็นพนักงานที่ทำงานเป็นกะ"
"R51"	"เป็นพนักงานชั่วคราว / รายวัน"
"R52"	"เป็นพนักงานที่ทำงานเป็นฤดูกาล"
"R53"	"มีประวัติค้างชำระหนี้กับสถาบันการเงินอื่น ๆ"
"R54"	"ยอดเงินในบัญชีเข้า-ออกในวันเดียวกัน"
"R55"	"Statement 3 เดือนล่าสุดไม่เห็น Salary Code"
"R56"	"พักบ้านเช่า/บริษัทที่ทำงานไม่ Wellknow/เงินเดือนต่ำกว่าเกณฑ์ที่กำหนด"
"R57"	"ธุรกิจไม่ได้จดทะเบียนการค้า/ ธุรกิจจดทะเบียนการค้าไม่ถึง 1 ปี"
"R58"	"เงินคงเหลือเข้าบัญชีต่ำกว่า 50%"
"R59"	"ยอดเงินคงเหลือในบัญชีต่ำ"
"R60"	"เอกสารไม่น่าเชื่อถือ"
"R61"	"รายได้ต่ำกว่าเกณฑ์ที่กำหนด"
"R62"	"ธุรกิจเสี่ยง(กรณีเป็นเจ้าของธุรกิจ)"
"R63"	"อายุงานน้อยกว่าเกณฑ์ที่กำหนด"
"R64"	"ประวัติการติดต่อกับสถาบันการเงินอื่น ไม่ดีBlacklisted"
"R65"	"ไม่ผ่าน Credit Scoring"
"R66"	"เป็นพนักงานที่ไม่สามารถรับโทรศัพท์ในเวลางานได้"
"R67"	"ปัจจุบันไม่มีงานทำ"
"R70"	"ผู้สมัครไม่ใช่ผู้มีสัญชาติไทย"
"R71"	"ไม่มีเบอร์โทรศัพท์ที่บ้านหรือที่ทำงาน"
"R72"	"อาชีพไม่มั่นคง / เสี่ยง(กรณีเป็นพนักงานประจำ)"
"R78"	"ประวัติการติดต่อด้านสินเชื่อบุคคลกับ KTC ไม่เรียบร้อย"
"R79"	"เคยมีประวัติค้างชำระหนี้กับสถาบันการเงินอื่นในรอบ 1 ปี"
"R80"	"ลาออกจากงานแล้ว"
"R81"	"ไม่มีรายได้ประจำ"
"R82"	"ลักษณะงานติดต่อยาก"
"R83"	"ไม่พบข้อมูลอ้างอิงใน ปกส. / BOL / NCB"
"R84"	"อายุต่ำกว่า หรือสูงกว่าหลักเกณฑ์"
"R85"	"เอกสารที่ใช้สมัครไม่สมบูรณ์ / ไม่ครบถ้วน"
"R88"	"Credit  Scoring  ต่ำกว่าเกณฑ์ที่กำหนด"
"R89"	"ปลอมแปลงข้อมูล / เอกสาร(เจ้าของกิจการ)"
"R90"	"ปลอมแปลงข้อมูล / เอกสาร(บุคคลธรรมดา)"
"R99"	"NCB Negative sent letter NCB"
